Year;CITATION;SAMPLE NAME;UNIQUE_ID;LOCATION;LOCATION COMMENT;LATITUDE (MIN.);LONGITUDE (MIN.);LATITUDE (MAX.);LONGITUDE (MAX.);ELEVATION (MIN.);ELEVATION (MAX.);SAMPLING TECHNIQUE;DRILLING DEPTH (MIN.);DRILLING DEPTH (MAX.);LAND/SEA (SAMPLING);ROCK TYPE;ROCK NAME;ROCK TEXTURE;SAMPLE COMMENT;AGE (MIN.);AGE (MAX.);GEOLOGICAL AGE;GEOLOGICAL AGE PREFIX;ERUPTION DAY;ERUPTION MONTH;ERUPTION YEAR;ALTERATION;ALTERATION TYPE;TYPE OF MATERIAL;MINERAL / COMPONENT;SPOT (MINERAL);CRYSTAL;RIM / CORE (MINERAL GRAINS);PRIMARY/SECONDARY;INCLUSION TYPE;MINERAL (INCLUSION);HOSTMINERAL (INCLUSION);HEATING;SIO2(WT%);TIO2(WT%);ZRO2(WT%);THO2(WT%);UO2(WT%);AL2O3(WT%);CR2O3(WT%);LA2O3(WT%);CE2O3(WT%);ND2O3(WT%);SM2O3(WT%);Y2O3(WT%);V2O3(WT%);V2O5(WT%);NB2O5(WT%);FE2O3T(WT%);FE2O3(WT%);FEOT(WT%);FEO(WT%);CAO(WT%);MGO(WT%);MNO(WT%);BAO(WT%);SRO(WT%);NIO(WT%);ZNO(WT%);CUO(WT%);RB2O(WT%);K2O(WT%);;;;NA2O(WT%);;;;;;P2O5(WT%);H2O(WT%);H2OP(WT%);H2OM(WT%);CO2(WT%);C(WT%);F(WT%);;;;CL(WT%);SO3(WT%);S(WT%);LOI(WT%);SI(WT%);AL(WT%);TI(WT%);FE(WT%);MG(WT%);MN(WT%);CA(WT%);K(WT%);;;;CR(WT%);HE4(CCMSTP/G);;;;;;LI(PPM);BE(PPM);B(PPM);F(PPM);NE20(CCMSTP/G);;;;;;P(PPM);S(PPM);CL(PPM);AR36(CCMSTP/G);;;;;;AR39(MOL/G);AR40(AT/G): altern. values or methods;;;;;;AR40(CCMSTP/G): altern. values or methods;;;;AR40(MOL/G): altern. values or methods;;;;AR40(PPB);K(PPM);SC(PPM): altern. values or methods;;;;TI(PPM);V(PPM): altern. values or methods;;;;CR(PPM): altern. values or methods;;;;MN(PPM);CO(PPM): altern. values or methods;;;;NI(PPM): altern. values or methods;;;;CU(PPM): altern. values or methods;;;;ZN(PPM): altern. values or methods;;;;GA(PPM): altern. values or methods;;;;GE(PPM);AS(PPM);AS(PPB);SE(PPM);RB(PPM): altern. values or methods;;;;SR(PPM): altern. values or methods;;;;Y(PPM): altern. values or methods;;;;ZR(PPM): altern. values or methods;;;;NB(PPM): altern. values or methods;;;;;;MO(PPM);RU(PPB);RH(PPB);PD(PPB);AG(PPM);CD(PPM);IN(PPM);SN(PPM);SB(PPM);CS(PPM);BA(PPM): altern. values or methods;;;;LA(PPM): altern. values or methods;;;;CE(PPM): altern. values or methods;;;;PR(PPM);ND(PPM): altern. values or methods;;;;SM(PPM): altern. values or methods;;;;EU(PPM): altern. values or methods;;;;GD(PPM);TB(PPM): altern. values or methods;;;;DY(PPM);HO(PPM);ER(PPM);TM(PPM);YB(PPM);LU(PPM): altern. values or methods;;;;HF(PPM): altern. values or methods;;;;TA(PPM): altern. values or methods;;;;W(PPM): altern. values or methods;;;;OS(PPB);IR(PPB);PT(PPB);AU(PPM);AU(PPB);HG(PPM);HG(PPB);TL(PPM);PB(PPM): altern. values or methods;;;;;;PB210_ACT(DPM/G): altern. values or methods;;;;BI(PPM);RA226(PPQ);RA226_ACT(DPM/G): altern. values or methods;;;;TH(PPM): altern. values or methods;;;;TH232(PPM);U(PPM): altern. values or methods;;;;U238(PPM);ND143_ND144: altern. values or methods;;;;ND143_ND144_INI;EPSILON_ND;EPSILON_ND_INI;SM147_ND144;SR87_SR86: altern. values or methods;;;;SR87_SR86_INI;EPSILON_SR_INI;RB87_SR86;PB206_PB204: altern. values or methods;;;;PB206_PB204_INI;PB207_PB204: altern. values or methods;;;;PB207_PB204_INI;PB207_PB206;PB208_PB204: altern. values or methods;;;;PB208_PB204_INI;PB208_PB206;OS187_OS188;HF176_HF177;HF178_HF177;EPSILON_HF_INI;LU176_HF177;YB176_HF177;HE3_HE4(R/R(A));HE4_HE3;AR36_AR39;AR37_AR39;AR38_AR36: altern. values or methods;;;;;;AR38_AR39;AR40_AR36: altern. values or methods;;;;;;AR40_AR39;AR40_K40;NE20_NE22: altern. values or methods;;;;;;NE21_NE22: altern. values or methods;;;;;;PB206_U238;PB207_U235;PB210_RA226: altern. values or methods;;;;RA226_TH230;RA226_TH230_ACT;RA226_U238;RA228_TH232;PA231_U235_ACT;TH228_TH232;TH230_TH232_ACT;TH230_U238_ACT;TH232_PB204;TH232_U238;U234_U238_ACT;U235_PB204;U238_PB204;U238_TH232_ACT;CL36_CL;D7LI(VS LSVEC);D18O(PER MIL);D18O(VS SMOW);D18O(VS VSMOW);D56FE(VS IRMM-014);D57FE(VS IRMM-014);DD(VS SMOW);ALBITE(MOL%);ACMITE(MOL%);ANORTHITE(MOL%);CA OLIVINE(MOL%);CHROMITE(MOL%);CELSIAN(MOL%);ENSTATITE(MOL%);FAYALITE(MOL%);FORSTERITE(MOL%);FERROSILITE(MOL%);HEMATITE(MOL%);HERCYNITE(MOL%);ILMENITE(MOL%);KALSILITE(MOL%);LARNITE(MOL%);MAGNESIOFERRITE(MOL%);MAGNETITE(MOL%);NEPHELINE(MOL%);ORTHOCLASE(MOL%);QUARTZ(MOL%);SPINEL(MOL%);TEPHROITE(MOL%);TSCHERMAKITE(MOL%);ULVOSPINEL(MOL%);WOLLASTONITE(MOL%);AGE(KA): altern. values or methods;;;;;;AGE(MA): altern. values or methods;;;;;;;;AGE_PB207_PB206(MA);AGE_PB207_U235(MA);AGE_PB206_U238(MA);
2022;[25582] PONTESILLI A. (2022);samp. M2;;NEW ZEALAND / SOUTH ISLAND / OTAGO / DUNEDIN;;-45.8518;170.5029;-45.8518;170.5029;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;CENOZOIC;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;;;;PRIMARY;;;;;55.78;0.05;;;;26.45;;;;;;;;;;;;0.32;;8.75;0.15;0;;;;;;;0.51;EMP (EPMA);;;6.05;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;;43;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
2022;[25582] PONTESILLI A. (2022);samp. M2;;NEW ZEALAND / SOUTH ISLAND / OTAGO / DUNEDIN;;-45.8518;170.5029;-45.8518;170.5029;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;CENOZOIC;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;;;;PRIMARY;;;;;55;0;;;;27.23;;;;;;;;;;;;0.2;;8.47;0.18;0;;;;;;;0.48;EMP (EPMA);;;6.85;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;;40;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
2022;[25582] PONTESILLI A. (2022);samp. M2;;NEW ZEALAND / SOUTH ISLAND / OTAGO / DUNEDIN;;-45.8518;170.5029;-45.8518;170.5029;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;CENOZOIC;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;;;;PRIMARY;;;;;55.52;0.02;;;;27.18;;;;;;;;;;;;0.2;;9.29;0.02;0;;;;;;;0.53;EMP (EPMA);;;5.88;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;;45;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
2022;[25582] PONTESILLI A. (2022);samp. M1;;NEW ZEALAND / SOUTH ISLAND / OTAGO / DUNEDIN;;-45.8914;170.5719;-45.8914;170.5719;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;CENOZOIC;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;;;;PRIMARY;;;;;56.55;0.07;;;;26.2;;;;;;;;;;;;0.28;;8.8;0.13;0.05;;;;;;;0.46;EMP (EPMA);;;5.87;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53;;44;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
2022;[25582] PONTESILLI A. (2022);samp. M1;;NEW ZEALAND / SOUTH ISLAND / OTAGO / DUNEDIN;;-45.8914;170.5719;-45.8914;170.5719;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;CENOZOIC;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;;;;PRIMARY;;;;;56.55;0;;;;26.21;;;;;;;;;;;;0.28;;8.58;0.05;0;;;;;;;0.59;EMP (EPMA);;;6.04;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;;42;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
2022;[25582] PONTESILLI A. (2022);samp. M1;;NEW ZEALAND / SOUTH ISLAND / OTAGO / DUNEDIN;;-45.8914;170.5719;-45.8914;170.5719;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;CENOZOIC;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;;;;PRIMARY;;;;;56.52;0.08;;;;26.25;;;;;;;;;;;;0.27;;8.68;0.1;0.02;;;;;;;0.53;EMP (EPMA);;;5.99;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;;43;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
2022;[25582] PONTESILLI A. (2022);samp. M1;;NEW ZEALAND / SOUTH ISLAND / OTAGO / DUNEDIN;;-45.8914;170.5719;-45.8914;170.5719;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;CENOZOIC;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;;;;PRIMARY;;;;;55.78;0.05;;;;26.45;;;;;;;;;;;;0.32;;8.75;0.15;0;;;;;;;0.51;EMP (EPMA);;;6.05;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;;43;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
2022;[25582] PONTESILLI A. (2022);samp. M1;;NEW ZEALAND / SOUTH ISLAND / OTAGO / DUNEDIN;;-45.8914;170.5719;-45.8914;170.5719;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;CENOZOIC;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;;;;PRIMARY;;;;;55;0;;;;27.23;;;;;;;;;;;;0.2;;8.47;0.18;0;;;;;;;0.48;EMP (EPMA);;;6.85;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;;40;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
2022;[25582] PONTESILLI A. (2022);samp. M1;;NEW ZEALAND / SOUTH ISLAND / OTAGO / DUNEDIN;;-45.8914;170.5719;-45.8914;170.5719;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;CENOZOIC;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;;;;PRIMARY;;;;;55.52;0.02;;;;27.18;;;;;;;;;;;;0.2;;9.29;0.02;0;;;;;;;0.53;EMP (EPMA);;;5.88;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;;45;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
2022;[25582] PONTESILLI A. (2022);samp. M1;;NEW ZEALAND / SOUTH ISLAND / OTAGO / DUNEDIN;;-45.8914;170.5719;-45.8914;170.5719;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;CENOZOIC;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;;;;PRIMARY;;;;;57.64;0.06;;;;25.55;;;;;;;;;;;;0.3;;7.56;0.04;0;;;;;;;0.6;EMP (EPMA);;;6.76;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;37;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
2022;[25582] PONTESILLI A. (2022);samp. M1;;NEW ZEALAND / SOUTH ISLAND / OTAGO / DUNEDIN;;-45.8914;170.5719;-45.8914;170.5719;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;CENOZOIC;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;;;;PRIMARY;;;;;57.17;0.05;;;;26.09;;;;;;;;;;;;0.23;;8.37;0.07;0.01;;;;;;;0.43;EMP (EPMA);;;6.3;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56;;41;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
2022;[25582] PONTESILLI A. (2022);samp. M1;;NEW ZEALAND / SOUTH ISLAND / OTAGO / DUNEDIN;;-45.8914;170.5719;-45.8914;170.5719;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;CENOZOIC;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;;;;PRIMARY;;;;;55.79;0.09;;;;26.71;;;;;;;;;;;;0.2;;8.96;0.06;0.06;;;;;;;0.53;EMP (EPMA);;;5.96;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53;;44;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
2022;[25582] PONTESILLI A. (2022);samp. M1;;NEW ZEALAND / SOUTH ISLAND / OTAGO / DUNEDIN;;-45.8914;170.5719;-45.8914;170.5719;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;CENOZOIC;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;;;;PRIMARY;;;;;56.3;0.13;;;;26.51;;;;;;;;;;;;0.28;;8.7;0.11;0;;;;;;;0.54;EMP (EPMA);;;6.12;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;;43;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
2022;[25582] PONTESILLI A. (2022);samp. M1;;NEW ZEALAND / SOUTH ISLAND / OTAGO / DUNEDIN;;-45.8914;170.5719;-45.8914;170.5719;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;CENOZOIC;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;;;;PRIMARY;;;;;55.25;0.06;;;;27.01;;;;;;;;;;;;0.23;;9.53;0.13;0;;;;;;;0.37;EMP (EPMA);;;5.62;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51;;47;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
2022;[25582] PONTESILLI A. (2022);samp. M1;;NEW ZEALAND / SOUTH ISLAND / OTAGO / DUNEDIN;;-45.8914;170.5719;-45.8914;170.5719;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;CENOZOIC;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;;;;PRIMARY;;;;;56.89;0.06;;;;26.05;;;;;;;;;;;;0.16;;8.14;0.09;0;;;;;;;0.66;EMP (EPMA);;;6.38;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56;;40;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;
2022;[25582] PONTESILLI A. (2022);samp. M1;;NEW ZEALAND / SOUTH ISLAND / OTAGO / DUNEDIN;;-45.8914;170.5719;-45.8914;170.5719;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;CENOZOIC;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;;;;PRIMARY;;;;;56.92;0.05;;;;25.89;;;;;;;;;;;;0.27;;8.02;0.1;0;;;;;;;0.59;EMP (EPMA);;;6.46;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;;39;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
2022;[25582] PONTESILLI A. (2022);samp. M1;;NEW ZEALAND / SOUTH ISLAND / OTAGO / DUNEDIN;;-45.8914;170.5719;-45.8914;170.5719;;;OUTCROP;;;SUBAERIAL;VOLCANIC ROCK;MUGEARITE;;;;;CENOZOIC;;;;;;;MINERAL / COMPONENT (INCL. GROUNDMASS);FELDSPAR;;;;PRIMARY;;;;;57.24;0.03;;;;26.04;;;;;;;;;;;;0.22;;8.04;0.1;0.05;;;;;;;0.61;EMP (EPMA);;;6.52;EMP (EPMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;;39;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;
